Group Id,Legally incorporated,Legal form,Date of incorporation,Group Formation Date,Are they working with the Hub?,Registered Provider,Charitable Status,Project ID,Project Postcode Area,Current Stage,Approach/Model,Total number of homes,Target overall year for completion,Affordable Rent Homes,Discounted Market Sale Homes (% income),Discounted Market Sale Homes (% market),Intermediate Rent Homes,Market Sale Homes,Mutual Home Ownership Homes,Social Rent Homes,Living Rent Homes,Market Rent Homes,Shared Equity Homes,Shared Ownership Homes,Rent to Buy Homes,Undetermined Tenure Homes,Refurbished Homes,New Build Homes,Not Known Age Homes,Homes bought from developer,Custom-build homes,Self-finish homes,Conventional build method homes,Self-build homes,Not known build method homes,
249,TRUE,Registered Society (formerly known as Industrial and Provident Society),26/06/2012,,No,FALSE,FALSE,256,EX13,Live,Community Land Trust,6,2015,4,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,6,
690,TRUE,Charitable Incorporated Organisation,07/02/2017,,,FALSE,TRUE,717,TN31,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
692,TRUE,Community Benefit Society (non-charitable),27/10/2017,,Yes,FALSE,FALSE,719,LS21,Concept,Community Land Trust,30,,0,0,0,0,0,0,0,0,0,0,0,0,30,15,15,0,0,0,0,0,0,30,
693,TRUE,Company Limited by Guarantee,18/01/1996,,,FALSE,FALSE,720,NE1,Group,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
1096,FALSE,Not yet incorporated,,,,FALSE,FALSE,1128,RH14,Concept,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
1099,TRUE,Community Benefit Society (non-charitable),07/01/2016,,Yes,FALSE,FALSE,1131,CB6,Concept,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
847,TRUE,Registered Society (formerly known as Industrial and Provident Society),21/12/2011,,,FALSE,FALSE,881,TQ10,No Stage Selected,Community Land Trust,14,,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,14,0,0,0,0,0,14,
849,TRUE,Registered Society (formerly known as Industrial and Provident Society),26/03/2013,,Yes,FALSE,FALSE,883,BN1,Concept,Community Land Trust,4,2022,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,
852,TRUE,Community Benefit Society (non-charitable),30/09/2015,,No,FALSE,FALSE,886,TA13,Live,Community Land Trust,10,2020,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,
857,TRUE,Community Benefit Society (non-charitable),09/05/2019,,Yes,FALSE,FALSE,891,W5,Concept,Community Land Trust,4,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,
858,TRUE,Charitable Incorporated Organisation,19/09/2018,,,FALSE,TRUE,892,PO10,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
1372,TRUE,Community Benefit Society (non-charitable),19/11/2019,,Yes,FALSE,FALSE,1453,SY9,Group,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
731,TRUE,Registered Society (formerly known as Industrial and Provident Society),21/06/2013,,,FALSE,FALSE,762,PL1,Concept,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
732,TRUE,Community Benefit Society (non-charitable),09/01/2018,,No,FALSE,FALSE,763,DT5,Plan,Community Land Trust,9,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,
735,TRUE,Community Benefit Society (non-charitable),12/12/2018,01/01/2017,Yes,FALSE,FALSE,766,PO1,Site,Community Land Trust,2,2022,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,
834,TRUE,Community Interest Company,09/05/2012,,Yes,FALSE,FALSE,867,LA22,Live,Community Land Trust,4,2017,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,
834,TRUE,Community Interest Company,09/05/2012,,Yes,FALSE,FALSE,868,LA22,Live,Community Land Trust,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
845,TRUE,Community Interest Company,07/11/2018,,,FALSE,FALSE,879,TS10,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
1146,FALSE,,,06/11/2018,Yes,FALSE,FALSE,1431,WR14,Site,Cohousing; Community Land Trust,20,,0,0,0,0,0,0,0,0,0,0,0,0,20,10,10,0,0,0,0,0,0,20,
99,TRUE,Registered Society (formerly known as Industrial and Provident Society),22/08/2012,,No,FALSE,FALSE,103,EX22,Live,Community Land Trust,10,2015,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,
101,TRUE,Registered Society (formerly known as Industrial and Provident Society),23/10/2012,,No,FALSE,FALSE,106,EX5,Live,Community Land Trust,7,2015,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,
109,TRUE,Registered Society (formerly known as Industrial and Provident Society),21/04/2011,,,TRUE,FALSE,369,BS5,Live,Community Land Trust,12,,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,12,
109,TRUE,Registered Society (formerly known as Industrial and Provident Society),21/04/2011,,,TRUE,FALSE,845,BS5,Build,Community Land Trust,85,2023,11,0,0,0,0,0,0,0,0,0,0,0,74,0,0,85,0,0,0,0,0,85,
114,TRUE,Registered Society (formerly known as Industrial and Provident Society),29/03/2007,,,FALSE,FALSE,120,SY20,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
193,TRUE,Company Limited by Guarantee,09/01/2013,,,FALSE,FALSE,199,PR3,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
197,TRUE,Community Benefit Society (non-charitable),27/04/2019,27/02/2019,Yes,FALSE,FALSE,203,M21,Group,Community Land Trust,140,2023,0,0,0,0,84,0,14,0,0,0,42,0,0,0,140,0,0,0,0,0,0,140,
200,TRUE,Company Limited by Guarantee,21/08/2018,,,FALSE,FALSE,207,GL7,Build,Cohousing; Community Land Trust,32,,10,0,0,0,22,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,32,
659,TRUE,Company Limited by Guarantee,14/08/2018,,No,FALSE,FALSE,686,PL8,Plan,Community Land Trust,21,2022,0,0,0,0,0,0,16,0,3,0,2,0,0,0,21,0,0,0,0,0,0,21,
360,TRUE,Community Benefit Society (non-charitable),29/03/2017,,Yes,FALSE,FALSE,1283,BN18,Site,Community Land Trust,100,2022,0,0,0,0,0,0,75,0,0,0,25,0,0,0,100,0,0,0,0,0,0,100,
361,TRUE,Community Benefit Society (non-charitable),29/03/2017,,Yes,FALSE,FALSE,376,CB7,Site,Community Land Trust,30,,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,30,0,0,0,0,0,30,
362,TRUE,Community Benefit Society (charitable),28/09/2018,,Yes,FALSE,TRUE,377,E17,Site,Community Land Trust,38,2025,8,0,0,0,0,0,0,15,0,0,15,0,0,0,0,38,0,0,0,0,0,38,
80,TRUE,Community Benefit Society (non-charitable),18/09/2015,,No,FALSE,FALSE,83,DT9,Plan,Community Land Trust,6,2020,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,
82,TRUE,Community Benefit Society (non-charitable),29/03/2019,,,FALSE,FALSE,86,GL1,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
87,FALSE,Not yet incorporated,,13/03/2019,,FALSE,FALSE,91,TR18,No Stage Selected,Community Land Trust,10,,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,0,0,0,0,0,0,10,
727,FALSE,Not yet incorporated,,,,FALSE,FALSE,757,,Concept,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
729,TRUE,Registered Society (formerly known as Industrial and Provident Society),09/02/2011,,,FALSE,FALSE,759,BA6,No Stage Selected,Community Land Trust; Co-operative,,,,,,,,,,,,,,,,,,,,,,,,,
