Name,Established,Type of ownership,Number of housing units,Type,Adresse,Postal number
Solsikken (2003),2003,Almene boliger,20, Tæt-lav,"Vaseholmen 34 – 72, 2750 Ballerup",2750
Sonnesgaarden (2003),2003,Medejerboliger (71) og almene boliger (24),95,Etagebyggeri,"Sonnesgade 14, 8000 C Aarhus. ",8000
Sophiero (2000),2000,Almene boliger,18,Tæt-lav,"Sophiero 1-19, 3400 Hillerød",3400
Springbo (2009),2009,Almene boliger,23,Etagebyggeri,"Stadionvej 13 A-D, 2600 Glostrup",2600
Stenkærgaard (2002),2002,Almene boliger,16,Tæt-lav,"Møllersmindevej 8 A-P, 8763 Rask Mølle",8763
Stenlandsparken (2003),2003,Andelsboliger,20,Tæt-lav,"Stenlandsparken 1 (m.fl.), 3200 Helsinge",3200
Strandhusene (2011),2011,Almene boliger,48,Etagebyggeri,"Anløbsbroen 2-4 & Lodsvej 1-5, 6100 Haderslev",6100
Strandvejen,,Almene boliger,15,Tæt-lav. Rækkehuse,"Strandvejen 1-29, 5330 Munkebo ",5330
Syrenlunden (cirka 2002),2002,Almene boliger,14,Tæt-lav. Rækkehuse,"Syrenvej 20-46, 5464 Brenderup  ",5464
Sækkedyb (1998),1998,Ejerboliger,10,Tæt-lav,2765 Smørum,2765
Søbo (2000),2000,Almene boliger,14,Tæt-lav,"Østergårdsvej 21-47, 4171 Glumsø",4171
Søhøjen (2003),2003,Almene boliger,27,Tæt-lav,"Søhøjen 2-52, 8381 Tilst",8381
Søkanten (2001),2001,Almene boliger,16,Tæt-lav,"Søkanten 1-17, 4500 Nykøbing Sj. ",4500
Sølvparken (1999),1999,Andelsboliger,17,Etageejendom,"Sølvgade 2-12, 7400 Herning",7400
Søparken (2002),2002,Andelsboliger,18,Tæt-lav,"Søparken 32, 7451 Sunds",7451
Søparken (2008),2008,Almene boliger,14,Tæt-lav,"Enghavevej 13 A-R, Glyngøre, 7870 Roslev",7870
Tanderparken (2007),2007,Andelsboliger,25,Tæt-lav,"Damgårdstoften 2-52, 8320 Mårslet",8320
Toftebo (1999),1999,Almene boliger,10,Tæt-lav,"Haldrupvej 46, Søvind, 8700 Horsens",8700
Toftebo (2005),2005,Almene boliger,14,Tæt-lav,"Spurvevej 2-28, 5853 Ørbæk ",5853
Toftehaven (2001),2001,Almene boliger,15,Tæt-lav,"Toftehaven 4, 6330 Padborg",6330
Toksværdparken (2006),2006,Almene boliger,20,Tæt-lav,"Thyrasvej 2-40, 4684 Holmegård",4684
Toppunktet (2015),2015,Almene boliger,17,Etagebyggeri,"Paltholmterrasserne 35-38, 3520 Farum",3520
Top13(2015),2015,Almene boliger,12,Etagebyggeri,"Paltholmterrasserne 47-49, 3520 Farum",3520
Tranebærhaven (2006),2006,Almene boliger,12,Tæt-lav,"Tranebærvej 26 A-N, 6753 Agerbæk",6753
Trekanten (ca. 2000),2000,Almene boliger,15,Tæt-lav,"Heilesenvænget 1-29, 8732 Hovedgård",8732
Trekroner (2003),2003,Andelsboliger,19, To plan,"Isafjordvej, 4000 Roskilde",4000
Tuen (1999),1999,Almene boliger,18,Tæt-lav,"Tuen 1-19, 4130 Viby Sj.",4130
Udsigten (2003),2003,Almene boliger ,12,Tæt-lav,"Vestervænget 20, Tvingstrup, 8700 Horsens",8700
Valmuen (2003),2003,Almene boliger,20,Tæt-lav,"Moseholmen 4-42, 2750 Ballerup",2750
ved Gadekæret (2002),2002,Andelsboliger,18,Tæt-lav,"Ved Gadekæret 6 (m.fl.), Fløng, 2640 Hedehusene",2640
Ved Klosterbækken (ca. 2003),2003,Almene boliger,15,Tæt-lav,"Sølstedgårdparken 34-62, 6240 Løgumkloster",6240
Ved Møllen (2001),2001,Almene boliger,16,Tæt-lav,"Ved Møllen 2-26, 4581 Rørvig",4581
Ved Skoven (2004),2004,Almene boliger,18,Tæt-lav,"Ved Skoven 40-74, 5592 Ejby",5592
Vejgården (2004),2004,Almene boliger,22,Tæt-lav,"Vejgård 1-22, 4160 Herlufmagle",4160
Væbnergården (2001),2001,Almene boliger,10,Tæt-lav,"Væbnervænget 11-31, 5300 Kerteminde",5300
Æbleblomsten (2012),2012,Almene boliger,21,Etagebyggeri,"Guldborgvej 17, 2660 Brøndby",2660
Æblehaven (2004),2004,Almene boliger,16,Tæt-lav,"Alfred Hansens Plads 2-34, 3650 Ølstykke",3650
Åbrinken (2002),2002,Almene boliger,16,Tæt-lav,"Åbrinken 1-17, 5871 Ferritslev ",5871
Sønderbygård,,Andelsboliger,10,Tæt-lav,"Aparken 83 m.fl,6670 Holsted",6670
Seniorbo Solbjerg (2001),2001,Andelsboliger,19,Tæt-lav,"Egevangen 81, 8355 Solbjerg",8355
Fuglehaven ,,Almene boliger,20,Tæt-lav,"Fuglehaven Fuglehaven 2-44, 6500 Vojens",6500
Fuglehaven ,,Andelsboliger,15,Tæt-lav,"Fuglehaven Fuglehaven 2-44, 6500 Vojens",6500
Bjerggården,,Almene boliger,,Tæt-lav,"Hvenekildeløkken, 451-496",5240
Kirkesbærlunden,,Almene boliger,,Tæt-lav,"Kirsebærlunden 11 m.fl., 4070 Kirke Hyllinge",4070
Lynghoved,,Andelsboliger,20,Tæt-lav,"Lynghovedvej 41, 8680 Ry",8680
Tianglen (1975/2000),2000,Almene boliger,20,Tæt-lav,"Tømrerparken ??, 4180 Sorø",4180
Sønderbygård (2003),2003,Almene boliger,10,Tæt-lav,"Åparken 83 m.fl. ,6670 Holsted",6670
Grønneparken,2004,Etagebyggeri,,,,8600
Baldersvej,2010,Almene boliger,66,,Baldersvej 6-100,6000
Seniorbofællesskabet Engdalen,2013,Almene boliger,18,Et-plan,Engdalen 1-21,6000
